2026-03-07 13:33:27,307 [INFO] [100713] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100391] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100370] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100735] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100685] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100123] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100725] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100751] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100449] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,307 [INFO] [100912] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100072] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100379] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100328] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100497] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100325] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100173] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100534] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100413] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100428] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100833] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100369] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100260] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100576] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100718] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100924] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100462] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100371] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100792] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100350] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100122] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100733] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100748] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100296] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100471] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100068] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100094] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100561] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100019] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100003] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100302] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100789] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100439] RSI=None MACD=(None, None) STOCH=None
